event layer r x y z
59 4 765.655 695.396 320.395 123.685
59 5 772.107 701.538 322.48 122.107
59 6 1001.19 916.443 403.134 171.851
59 7 1007.7 922.513 405.499 170.703
60 0 289.37 275.322 89.0663 98.3525
60 1 395.444 373.628 129.529 134.954
60 2 554.251 520.534 190.365 182.75
60 3 560.884 526.517 193.315 183.978
60 4 754.253 705.175 267.631 220.29
60 5 760.696 711.359 269.494 221.509
60 6 992.545 925.506 358.586 318.286
60 7 999.221 931.386 361.888 319.477
61 1 400.621 395.482 63.9609 -36.5089
61 2 556.461 543.579 119.04 12.4984
61 3 563.294 549.924 122.001 13.0539
61 4 755.219 730.329 192.289 72.8111
61 5 762.127 736.504 195.956 73.6885
61 6 994.148 952.187 285.782 122.527
61 7 1000.91 958.28 289.009 123.224
62 0 296.171 272.92 115.03 73.5765
62 0 287.715 265.253 111.45 72.5015
62 1 403.344 370.279 159.938 86.1334
62 2 560.977 514.29 224.057 85.6407
62 2 561.233 514.083 225.169 111.095
62 3 567.898 520.066 228.121 110.483
62 4 762.462 697.844 307.185 123.336
62 5 768.942 703.973 309.345 122.455
62 5 769.973 703.161 313.723 122.339
62 5 770.061 703.093 314.095 122.329
62 6 1000.79 916.819 401.285 171.802
62 7 1007.45 922.754 404.315 170.735
63 0 289.635 263.375 120.508 216.105
63 1 406.301 369.215 169.59 234.003
63 2 563.603 512.254 235.04 281.931
63 3 570.271 518.237 237.99 280.797
63 4 765.322 695.643 319.059 319.65
63 5 771.904 701.69 321.664 318.129
63 6 1004.52 913.418 418.0 368.246
63 7 1011.01 919.504 420.29 366.311
64 0 295.141 241.563 169.574 -10.6505
64 1 395.282 335.677 208.732 12.7438
64 2 554.093 484.665 268.549 60.5331
64 3 560.393 490.784 270.502 61.8638
64 4 753.38 672.226 340.137 122.16
64 5 759.709 678.36 342.031 123.656
64 6 1006.32 911.859 425.667 222.066
64 7 1012.94 917.829 428.525 219.709
64 6 989.582 896.027 420.01 219.801
64 7 996.137 901.789 423.161 221.98
65 1 401.697 395.928 67.8351 -12.2158
65 2 557.609 543.424 124.976 36.8445
65 3 564.407 549.775 127.684 37.0977
65 4 757.188 729.6 202.528 73.0781
65 5 763.745 735.909 204.313 73.4706
65 6 996.794 950.56 300.055 171.284
65 7 1003.63 956.626 303.531 171.227
66 0 293.491 243.384 164.015 16.3255
66 1 393.069 339.175 198.655 36.6581
66 2 569.816 507.963 258.194 86.5436
66 3 576.337 514.042 260.624 84.1981
66 2 551.483 490.493 252.091 84.2707
66 3 557.896 496.419 254.589 86.4945
66 4 766.366 694.873 323.215 123.76
66 5 772.759 701.057 325.078 122.038
66 6 1000.16 917.421 398.327 171.724
66 7 1006.47 923.687 399.73 170.856
67 0 293.402 273.809 105.421 86.0775
67 1 400.511 371.378 149.96 111.297
67 2 559.008 515.936 215.176 159.214
