event barcode charge pt d0
660 10001 -1 12625.1 24.5433
661 10001 1 9300.94 57.5209
662 10001 1 5633.44 46.4564
663 10001 1 5430.63 79.8977
664 10001 -1 5964.37 -93.5644
665 10001 -1 5216.43 -43.0994
666 10001 1 6022.61 62.2113
667 10001 1 193765.0 64.4936
668 10001 -1 6412.58 44.2345
669 10001 1 373986.0 33.1464
670 10001 1 10065.2 -25.8765
671 10001 -1 13270.4 -25.735
672 10001 -1 14973.8 -99.3553
673 10001 1 8369.28 -90.8675
674 10001 1 5544.3 -64.5431
675 10001 -1 5977.61 76.3102
676 10001 -1 289827.0 -83.5729
677 10001 -1 8364.89 22.6738
678 10001 -1 8032.61 -68.4566
679 10001 -1 33625.5 60.3105
680 10001 1 235200.0 -88.3304
681 10001 -1 10257.8 10.3657
682 10001 1 43297.0 -49.9561
683 10001 1 6217.5 -79.2678
684 10001 1 9952.31 5.49858
685 10001 1 12435.7 99.8198
686 10001 -1 46331.7 21.0138
687 10001 -1 18526.9 82.65
688 10001 -1 77441.9 -72.1338
689 10001 -1 10482.4 4.9712
690 10001 1 9613.33 91.1697
691 10001 -1 15864.4 79.4193
692 10001 1 9224.53 55.3845
693 10001 -1 27480.8 78.135
694 10001 -1 8587.43 50.1696
695 10001 -1 10326.5 -14.1185
696 10001 1 34822.2 45.3732
697 10001 -1 25754.9 -62.0735
698 10001 -1 5054.45 15.5472
699 10001 1 5437.54 85.0669
700 10001 -1 59958.7 -15.6654
701 10001 -1 19896.2 7.52674
702 10001 -1 17689.0 37.1407
703 10001 1 32053.0 8.23691
704 10001 1 8612.37 78.7683
705 10001 1 30199.3 -5.64248
706 10001 -1 7887.31 -77.6645
707 10001 -1 6175.08 90.5321
708 10001 1 5915.58 83.8216
709 10001 -1 5137.97 32.0182
710 10001 -1 19709.5 -58.492
711 10001 1 235335.0 -29.2674
712 10001 1 8262.78 34.2626
713 10001 -1 5206.34 22.8099
714 10001 -1 6344.24 40.1175
715 10001 -1 12672.1 -74.1969
716 10001 -1 7543.49 -71.7165
717 10001 -1 331538.0 -74.9304
718 10001 1 10103.3 74.4322
719 10001 -1 5425.87 -26.6331
720 10001 1 5453.41 29.6569
721 10001 1 10097.3 88.8964
722 10001 1 7250.81 -51.1693
723 10001 1 35493.9 94.9794
724 10001 1 52169.6 33.9025
725 10001 1 19174.9 -20.5464
726 10001 -1 9809.79 -67.9323
727 10001 1 11172.6 -64.3106
728 10001 -1 17054.1 -42.864
